FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	1024	1024	1024
4	4	1536	1536	1536	1536
6	5	2048	2048	2048	2048
17	6	2560	2560	2560	2560
	7	3072	3072	3072	3072
	15	3584	3584	3584	3584
	16	4096	4096	4096	4096
	22	4608	4608	4608	4608
	23	5120	4864	5120	5120
		5632	4992	5632	5632
		6144	4996	6144	6144
		6656	4998	6656	6656
		7168	4999	7168	7168
		7680		7680	7680
		8192		8192	8192
		8704		8704	8704
		9216		9216	9216
		9728		9728	9728
		10240		9984	10240
		10752		9992	10752
		11264		9996	11264
		11776		9998	11776
		12288		9999	12288
		12800			12800
		13312			13312
		13824			13824
		14336			14336
		14848			14848
		15360			15360
		15872			15872
		16384			16384
		16896			16896
		17408			17408
		17920			17920
		18432			18432
		18944			18944
		19456			19456
		19968			19968
		20480			19984
		20992			19992
		21504			19996
		22016			19998
		22528			19999
		23040			
		23552			
		24064			
		24576			
		25088			
		25600			
		26112			
		26624			
		27136			
		27648			
		28160			
		28672			
		29184			
		29696			
		30208			
		30720			
		31232			
		31744			
		32256			
		32768			
		33280			
		33792			
		34304			
		34816			
		35328			
		35840			
		36352			
		36864			
		37376			
		37888			
		38400			
		38912			
		39424			
		39936			
		39968			
		39984			
		39992			
		39996			
		39998			
		39999			
